
------------------------------------------------------------------------
Run Date                [2011/Oct/15-12:14:46].
Report File Name        [oil_GradingReport_01.txt].
HTML File Name          [oil_GradingReport_01.html].
Source Root Directory   [C:\temp\oil].
Ground Truch Directory  [D:\Pices\TrainingLibraries\oil].
Config File Name        [].
------------------------------------------------------------------------




Missing Examples To Grade
=========================
    *** None ***



Missing Ground Truth Examples
=============================
   *** None ***



Confusion Matrix   Training Level[3]       Preduction Level[1]


Overall Accuracy:	99.996%

															
															
Class_Names	Count	crustacean	detritus	echinoderm	elongate	fish	gelatinous	larvacean	mollusc	noise	other	phytoplankton	protist	radiolarian	trichodesmium
crustacean	4803	4802	0	0	0	1	0	0	0	0	0	0	0	0	0
detritus	6936	0	6936	0	0	0	0	0	0	0	0	0	0	0	0
echinoderm	735	0	0	735	0	0	0	0	0	0	0	0	0	0	0
elongate	1638	0	0	0	1638	0	0	0	0	0	0	0	0	0	0
fish	459	0	0	0	0	459	0	0	0	0	0	0	0	0	0
gelatinous	5187	0	0	0	0	0	5187	0	0	0	0	0	0	0	0
larvacean	536	0	0	0	0	0	0	536	0	0	0	0	0	0	0
mollusc	673	0	0	0	0	0	0	0	673	0	0	0	0	0	0
noise	1914	0	0	0	0	0	0	0	0	1914	0	0	0	0	0
other	103	0	0	0	0	0	0	0	0	0	103	0	0	0	0
phytoplankton	1267	0	0	0	0	0	0	0	0	0	0	1267	0	0	0
protist	2838	0	0	0	0	0	0	0	0	0	0	0	2838	0	0
radiolarian	165	0	0	0	0	0	0	0	0	0	0	0	0	165	0
trichodesmium	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	1188
Totals	28442	4802	6936	735	1638	460	5187	536	673	1914	103	1267	2838	165	1188


crustacean	16.89%	99.979%	0.000%	0.000%	0.000%	0.021%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
detritus	24.39%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
echinoderm	2.58%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
elongate	5.76%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
fish	1.61%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
gelatinous	18.24%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
larvacean	1.88%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
mollusc	2.37%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
noise	6.73%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%
other	0.36%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%
phytoplankton	4.45%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%
protist	9.98%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%	0.000%
radiolarian	0.58%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%	0.000%
trichodesmium	4.18%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	100.000%


Non Noise Accuracy:	99.996%





Confusion Matrix   Training Level[3]       Preduction Level[2]


Overall Accuracy:	99.989%

																																		
		crustacean	crustacean	crustacean	detritus	detritus	detritus	echinoderm	echinoderm	elongate	elongate	elongate		gelatinous	gelatinous	gelatinous	gelatinous		mollusc			phytoplankton	phytoplankton	phytoplankton	protist	protist	protist	protist	protist	protist	protist	radiolarian	trichodesmium	Trichodesmium
Class_Names	Count	copepod	eumalacostracan	ostracod	blob	oildroplet	snow	bipinnaria	plutei	chaetognath	polychaete	strands	fish	ctenophore	hydromedusae	siphonophore	tunicate	larvacean	pteropod	noise	other	chaetoceros	chain	noctiluca	acantharia	diffuse	knobby	lopsided	radio	spiny	thalassicola	ribboncolony	colonies	elongate
crustacean_copepod	3081	3081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crustacean_eumalacostracan	1088	0	1087	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crustacean_ostracod	634	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
detritus_blob	1327	0	0	0	1326	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
detritus_oildroplet	1075	0	0	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
detritus_snow	4534	0	0	0	1	0	4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
echinoderm_bipinnaria	374	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
echinoderm_plutei	361	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elongate_chaetognath	1017	0	0	0	0	0	0	0	0	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elongate_polychaete	305	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elongate_strands	316	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fish	459	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gelatinous_ctenophore	468	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gelatinous_hydromedusae	2412	0	0	0	0	0	0	0	0	0	0	0	0	0	2412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gelatinous_siphonophore	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gelatinous_tunicate	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
larvacean	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mollusc_pteropod	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
noise	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
other	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0
phytoplankton_chaetoceros	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0
phytoplankton_chain	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0
phytoplankton_noctiluca	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
protist_acantharia	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0
protist_diffuse	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0
